date,advertiser_name,impressions,clicks,post_click_activities,post_view_activities,spend,cpm,cpa,cpc,ctr
2013-10-28,Advertiser 25,6558,4,0,0,9.83,1.5,0,2.46,0.06
2013-10-28,Advertiser 27,7360,3,0,0,5.15,0.7,0,1.72,0.04
2013-10-28,Advertiser 28,22900,1,0,0,43.18,1.89,0,43.18,0
2013-10-28,Advertiser 29,388,0,0,0,0.9,2.31,0,0,0
2013-10-28,Advertiser 30,13446,6,0,0,24.54,1.83,0,4.09,0.04
2013-10-28,Advertiser 33,109594,23,0,0,25.59,0.23,0,1.11,0.02
2013-10-28,Advertiser 34,0,1,0,0,0,0,0,0,0
2013-10-28,Advertiser 35,4364,7,0,0,4.23,0.97,0,0.6,0.16
2013-10-28,Advertiser 36,12197,13,0,0,8.56,0.7,0,0.66,0.11
2013-10-29,Advertiser 2,10154,21,0,1,52.55,5.17,52.55,2.5,0.21
2013-10-29,Advertiser 3,13785,18,0,4,68.9,5,17.22,3.83,0.13
2013-10-29,Advertiser 4,17427,7,0,0,31.29,1.8,0,4.47,0.04
2013-10-29,Advertiser 5,22652,15,1,1,50.3,2.22,25.15,3.35,0.07
2013-10-29,Advertiser 7,8935,2,1,168,20.91,2.34,0.12,10.46,0.02
2013-10-29,Advertiser 8,10314,10,0,0,35.54,3.45,0,3.55,0.1
2013-10-29,Advertiser 13,9110,12,0,3,43.85,4.81,14.62,3.65,0.13
2013-10-29,Advertiser 14,85458,2409,0,0,83.33,0.98,0,0.03,2.82
2013-10-29,Advertiser 16,6142,2,0,0,8.04,1.31,0,4.02,0.03
2013-10-29,Advertiser 17,3107,0,0,0,6.27,2.02,0,0,0
2013-10-29,Advertiser 19,9607,3,0,0,12.72,1.32,0,4.24,0.03
2013-10-29,Advertiser 20,64,0,0,0,0.46,7.27,0,0,0
2013-10-29,Advertiser 22,1144,0,0,0,4.28,3.75,0,0,0
2013-10-29,Advertiser 23,16656,3,0,0,19.15,1.15,0,6.38,0.02
2013-10-29,Advertiser 24,16133,7,0,0,41.15,2.55,0,5.88,0.04
2013-10-29,Advertiser 26,48222,28,0,0,91.35,1.89,0,3.26,0.06
2013-10-29,Advertiser 25,8349,6,0,0,14.2,1.7,0,2.37,0.07
2013-10-29,Advertiser 27,5899,5,0,0,5.24,0.89,0,1.05,0.08
2013-10-29,Advertiser 28,26350,11,0,0,43.51,1.65,0,3.96,0.04
2013-10-29,Advertiser 29,401,0,0,0,0.91,2.26,0,0,0
2013-10-29,Advertiser 30,13947,6,0,0,24.66,1.77,0,4.11,0.04
2013-10-29,Advertiser 33,253051,27,0,0,56.9,0.22,0,2.11,0.01
2013-10-29,Advertiser 34,0,1,0,0,0,0,0,0,0
2013-10-29,Advertiser 35,11949,8,0,0,13.48,1.13,0,1.68,0.07
2013-10-30,Advertiser 2,10258,28,0,2,52.71,5.14,26.36,1.88,0.27
2013-10-30,Advertiser 3,12759,22,1,2,66.2,5.19,22.07,3.01,0.17
2013-10-30,Advertiser 4,16534,3,0,0,30.68,1.86,0,10.23,0.02
2013-10-30,Advertiser 5,20763,22,0,0,49.62,2.39,0,2.26,0.11
2013-10-30,Advertiser 7,7250,3,0,166,17.06,2.35,0.1,5.69,0.04
2013-10-30,Advertiser 8,6961,5,0,0,24.47,3.52,0,4.89,0.07
2013-10-30,Advertiser 13,8731,17,0,2,42.42,4.86,21.21,2.5,0.19
2013-10-30,Advertiser 14,72502,2268,0,0,71.76,0.99,0,0.03,3.13
2013-10-30,Advertiser 17,2229,1,0,0,4.54,2.03,0,4.54,0.04
